length,frequency
7.5,0.1298
8.5,67.7157
9.5,70.9007
10.5,308.5635
11.5,772.8654
12.5,1628.5548
13.5,2961.4762
14.5,2958.0751
15.5,4723.1009
16.5,5153.2598
17.5,3895.201
18.5,4416.5696
19.5,4417.4919
20.5,6264.4392
21.5,5544.5146
22.5,6178.0968
23.5,5385.3127
24.5,5751.7787
25.5,4861.9627
26.5,4523.1093
27.5,4321.1371
28.5,3541.068
29.5,3459.0983
30.5,3151.2266
31.5,2728.8376
32.5,3398.1065
33.5,3271.3013
34.5,4394.3522
35.5,5201.6322
36.5,5464.6668
37.5,4161.7807
38.5,4516.3614
39.5,5096.4912
40.5,3793.3582
41.5,3653.6642
42.5,2978.4048
43.5,2339.3364
44.5,1939.7565
45.5,1642.5382
46.5,1229.8901
47.5,1135.5374
48.5,1140.0952
49.5,1056.3759
50.5,1060.0528
51.5,791.9634
52.5,617.4019
53.5,442.4478
54.5,357.7619
55.5,211.4478
56.5,111.9615
57.5,79.9153
58.5,48.4119
59.5,15.2072
60.5,7.2564
61.5,0.9307
62.5,0.0
63.5,0.4389
64.5,0.2672
