Time (hours),Depth (m),Size (um)
40.10801080108011,192.39340803189762,0.00017999999999999998
137.38973897389738,129.11107280834645,0.00015999999999999999
176.92169216921693,231.11740940742058,0.00017999999999999998
231.93519351935194,153.13209667719946,0.00019999999999999998
259.4419441944195,148.44071587287593,0.00014
285.2925292529253,217.8445066680648,0.0003
306.46264626462647,224.63546533211198,0.00019999999999999998
409.1449144914492,133.7725881855297,9.999999999999999e-05
441.2601260126013,177.79430347720975,0.00019999999999999998
477.69576957695773,113.42164419644033,0.00015999999999999999
591.3951395139514,214.9838103375581,0.00015999999999999999
657.0657065706571,107.41525764464451,0.00015999999999999999
