Depth,Average Temperature,Average Salinity,Density
0.494025,1.4595767559418233,33.93037480046116,1.027154482429563
1.541375,1.459059548487939,33.930529997339484,1.0271546432791092
2.645669,1.458045052822366,33.930679651472154,1.027154834542553
3.819495,1.4567587894089216,33.93083484835048,1.027155049292341
5.078224,1.455294292080525,33.93097618836467,1.0271552653881892
6.440614,1.4536754639278113,33.9311119856332,1.0271554878195026
7.92956,1.4511538322748267,33.931631950612896,1.027156081828638
9.572997,1.4491860475606235,33.931776292414284,1.0271563354632405
11.405,1.4470181447359656,33.93194561645053,1.0271566231061267
13.46714,1.4444943599524698,33.93215007551528,1.02715696378524
15.81007,1.4415702833385176,33.93239812922147,1.027157367362278
18.49556,1.438326362186611,33.9327130378734,1.027157846846671
21.59882,1.4346667706203324,33.93302420430299,1.0271583522151264
25.21141,1.43005154041274,33.933443723328594,1.0271590110658706
29.44473,1.423862158828236,33.93404105174253,1.0271599220923586
34.43415,1.4148450699137471,33.93498799573182,1.0271613100718642
40.34405,1.4007486284351653,33.93649390786197,1.0271634983941496
47.37369,1.376167526992431,33.93917798308103,1.0271673550883451
55.76429,1.3271524398053278,33.94415983606557,1.0271747256381873
65.80727,1.2281494140625,33.95402494204708,1.0271893628278796
77.85385,1.0705665877412438,33.97289637687634,1.027214954969474
92.32607,0.9085425325439147,34.00645556999462,1.0272523328155339
109.7293,0.8287474748329722,34.0609115429758,1.0273011456976313
130.666,0.8972324600735697,34.135013023213304,1.02735646688625
155.8507,1.097486965753184,34.22020158269339,1.0274119963362005
186.1256,1.3588202801734508,34.305935455157815,1.0274630851100173
222.4752,1.5954951084595332,34.38567527308838,1.0275101498635284
266.0403,1.7536549742617005,34.45206161863887,1.027551639812665
318.1274,1.8366237167484505,34.50519434400827,1.0275879289979137
380.213,1.8668205024942839,34.551334182082726,1.0276225943222717
453.9377,1.852783305147827,34.59067135917259,1.0276552144477173
541.0889,1.802182824660812,34.62313643773664,1.0276851367268836
643.5668,1.723249399102042,34.64975997143462,1.0277125011913264
763.3331,1.618161250899712,34.67089198123267,1.0277373427408367
902.3393,1.4870139912936329,34.68606913919414,1.027759175456273
1062.44,1.3321197383467653,34.695450337617075,1.0277778263790274
1245.291,1.1606873459531284,34.70021273959022,1.0277935969640057
1452.251,0.975960940129291,34.701021567197664,1.027806688300277
1684.284,0.779158272286014,34.69892863301909,1.0278177638816104
1941.893,0.5808061090024492,34.6947444523135,1.027826733713493
2225.078,0.37784077355962997,34.68979375305325,1.0278348246072784
2533.336,0.21025009514962023,34.68535555264536,1.0278408017199319
2865.703,0.1025158070011835,34.68201136537872,1.027844045377949
3220.82,0.021376773815386274,34.6792489896722,1.027846186394467
3597.032,-0.10603908706983668,34.674498803654295,1.0278490322948446
3992.484,-0.34587284010283803,34.66533468856292,1.0278535979462127
4405.224,-0.4575589217803552,34.660896200440526,1.0278553119700393
4833.291,-0.5025629207787924,34.65885308878311,1.0278557472054757
5274.784,-0.5195783957456931,34.657918294270836,1.0278557729996942
